epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,634.212,0.28914,0.45475,0.22662,0.88896,0.99819,0.96774,0.97164,0.97164,0.99819,0.96774,0.97164,0.87167,0.13021,1.02778,0.11456,0.57456,0.0011882,0.0011882,0.0011882
43,655.533,0.28269,0.46249,0.22353,0.88948,0.99093,0.96774,0.96579,0.96579,0.99093,0.96774,0.96579,0.96579,0.18233,0.16769,0.30223,0.62403,0.0011684,0.0011684,0.0011684
44,677.482,0.28466,0.48652,0.23205,0.89035,0.99791,0.96774,0.97127,0.97127,0.99791,0.96774,0.97127,0.97127,0.13826,0.61927,0.17935,0.58013,0.0011486,0.0011486,0.0011486
45,698.862,0.29176,0.45677,0.23695,0.88878,0.99809,0.96774,0.97075,0.97075,0.99809,0.96774,0.97075,0.97075,0.14099,0.08214,0.13551,0.58573,0.0011288,0.0011288,0.0011288
46,718.953,0.29644,0.43958,0.2337,0.89325,0.99804,0.96774,0.96946,0.96946,0.99804,0.96774,0.96946,0.96946,0.12671,0.25814,0.13956,0.58067,0.001109,0.001109,0.001109
47,737.688,0.28302,0.46788,0.22707,0.8868,0.99825,0.96774,0.97058,0.97058,0.99825,0.96774,0.97058,0.97058,0.13435,0.24471,0.11794,0.5735,0.0010892,0.0010892,0.0010892
48,755.104,0.2801,0.48037,0.22373,0.88772,0.99825,0.96774,0.97415,0.97415,0.99825,0.96774,0.97415,0.97415,0.11195,0.0849,0.11815,0.57004,0.0010694,0.0010694,0.0010694
49,772.541,0.27926,0.44615,0.21801,0.88622,0.99825,0.96774,0.97687,0.97687,0.99825,0.96774,0.97687,0.97687,0.10349,0.25249,0.10527,0.56731,0.0010496,0.0010496,0.0010496
50,790.58,0.27478,0.47303,0.2207,0.8875,0.99831,0.96774,0.97713,0.97713,0.99831,0.96774,0.97713,0.97713,0.12564,0.10369,0.12901,0.56985,0.0010298,0.0010298,0.0010298
51,807.968,0.2743,0.5054,0.21816,0.8855,0.9983,0.96774,0.97594,0.97594,0.9983,0.96774,0.97594,0.97594,0.12625,0.09252,0.14869,0.57671,0.00101,0.00101,0.00101
52,825.464,0.27511,0.50143,0.21643,0.88758,0.99797,0.96774,0.96642,0.96642,0.99797,0.96774,0.96642,0.94283,0.12885,0.88921,0.1991,0.58453,0.0009902,0.0009902,0.0009902
53,843.528,0.27681,0.45173,0.22099,0.89034,0.99829,0.96774,0.9774,0.9774,0.99829,0.96774,0.9774,0.9774,0.14375,1.33346,0.13555,0.58047,0.0009704,0.0009704,0.0009704
54,861.906,0.27204,0.45986,0.21683,0.88424,0.99817,0.96774,0.97333,0.97333,0.99817,0.96774,0.97333,0.97333,0.11453,0.08601,0.11635,0.56336,0.0009506,0.0009506,0.0009506
55,880.823,0.27306,0.48034,0.21398,0.88413,0.99823,0.96774,0.97254,0.97254,0.99823,0.96774,0.97254,0.97254,0.10391,0.10617,0.10962,0.56166,0.0009308,0.0009308,0.0009308
56,897.664,0.26186,0.45405,0.20633,0.88195,0.99798,0.96774,0.96681,0.96681,0.99798,0.96774,0.96681,0.96681,0.12008,0.09269,0.143,0.56788,0.000911,0.000911,0.000911
57,914.18,0.2615,0.42466,0.20526,0.88709,0.99831,0.96774,0.98191,0.98191,0.99831,0.96774,0.98191,0.98191,0.10285,0.07931,0.10822,0.56221,0.0008912,0.0008912,0.0008912
58,933.213,0.27097,0.415,0.21149,0.88608,0.99826,0.96774,0.97687,0.97687,0.99826,0.96774,0.97687,0.97687,0.12388,0.07665,0.10962,0.56935,0.0008714,0.0008714,0.0008714
59,952.407,0.26648,0.47053,0.21337,0.88205,0.99821,0.96774,0.97968,0.97968,0.99821,0.96774,0.97968,0.97968,0.14809,0.39203,0.17075,0.58948,0.0008516,0.0008516,0.0008516
60,971.874,0.2576,0.37193,0.20002,0.87903,1,0.96774,0.9836,0.9836,1,0.96774,0.9836,0.9836,0.1117,0.88494,0.10091,0.56507,0.0008318,0.0008318,0.0008318
